keyword,sentiment_mean,sentiment_std,subjectivity_mean,subjectivity_std,counting
'Antarktis',-0.16878223206182544,0.8998905746673428,0.4501797870495788,0.9193107889865164,21.0
'Bermuda',-0.7990382261135214,1.0,-0.6320811691579481,1.0,1.0
'Colombo',-0.6756816191021001,1.0,-0.6320811691579481,1.0,1.0
'Frankreich',-2.1739866436572832,1.0,-0.3579378548136696,1.0,1.0
'Kuba',-0.969257142921792,1.0,-0.6211640273377457,1.0,1.0
'Libanon',-0.3303006027353232,1.0,-0.3579378548136696,1.0,1.0
'Neuseeland',0.7071067811865475,1.0,0.7071067811865476,1.0,1.0
'Polen',0.4539662028758055,1.0,0.03977087275707439,1.0,1.0
'Rom',0.44563579955905086,0.7644554026581927,-0.26312411388124796,0.5063449014810684,2.0
'Schweiz',0.7071067811865475,1.0,,1.0,1.0
'Ungarn',-0.30427030576032527,1.0,-0.6337053865602995,1.0,1.0
'Vatikan',0.1947380060151974,0.7563939125739032,-0.16060614488060773,0.9891354390786472,18.0
'Vatikanstadt',1.353095613870557,1.0,-0.3579378548136696,1.0,1.0
'Österreich',0.41661626481029146,0.589184371999935,-0.23872463192340052,0.33760761213859813,2.0
