,phrase,label,sentiment,subjectivity,language,count
Türkei,Türkei,LOC,-0.08030303030303032,0.05892255892255892,de,99
USA,USA,LOC,0.047,0.07,de,50
Vatikan,Vatikan,LOC,0.026041666666666657,0.03125,de,48
Bolivien,Bolivien,LOC,-0.1265765765765766,0.0,de,37
Ankara,Ankara,LOC,-0.041666666666666664,0.0,de,24
Israel,Israel,LOC,-0.031818181818181815,0.0,de,22
Antarktis,Antarktis,LOC,0.022727272727272728,0.15,de,22
Myanmar,Myanmar,LOC,-0.14761904761904762,0.14285714285714285,de,21
US-Präsident,US-Präsident,LOC,-0.20750000000000002,0.0,de,20
Kolumbien,Kolumbien,LOC,0.0,0.0,de,20
Deutschland,Deutschland,LOC,0.0,0.0,de,19
Pariser,Pariser,LOC,0.0,0.0,de,14
China,China,LOC,-0.11785714285714285,0.03571428571428571,de,14
Gaza,Gaza,LOC,0.042857142857142864,0.14285714285714285,de,14
Malediven,Malediven,LOC,0.0,0.08333333333333333,de,12
Rom,Rom,LOC,-0.16666666666666666,0.0,de,12
Malaysia,Malaysia,LOC,-0.2318181818181818,0.0,de,11
Thailand,Thailand,LOC,0.18181818181818182,0.0,de,11
Ukraine,Ukraine,LOC,0.0,0.2727272727272727,de,11
Zypern,Zypern,LOC,-0.3,0.1,de,10
Nigeria,Nigeria,LOC,-0.23499999999999996,0.0,de,10
Schweiz,Schweiz,LOC,0.0,0.0,de,9
Russland,Russland,LOC,0.037500000000000006,0.0,de,8
Europa,Europa,LOC,0.037500000000000006,0.125,de,8
Karibik,Karibik,LOC,-0.2125,0.0,de,8
Venezuela,Venezuela,LOC,0.012499999999999956,0.125,de,8
Naturkundemuseum,Naturkundemuseum,LOC,0.09999999999999999,0.0,de,7
Istanbul,Istanbul,LOC,-0.5714285714285714,0.0,de,7
Syrien,Syrien,LOC,-0.5666666666666667,0.0,de,6
Boliviens,Boliviens,LOC,0.0,0.0,de,6
Gazastreifen,Gazastreifen,LOC,-0.2333333333333333,0.0,de,6
Australien,Australien,LOC,0.45999999999999996,0.26666666666666666,de,5
Südpol,Südpol,LOC,0.0,0.4,de,5
Bootsunglück,Bootsunglück,LOC,-0.27999999999999997,0.0,de,5
Südamerika,Südamerika,LOC,-0.13999999999999999,0.0,de,5
Island,Island,LOC,0.0,0.0,de,5
Katar,Katar,LOC,0.2,0.0,de,5
Amazonas,Amazonas,LOC,0.13999999999999999,0.0,de,5
Palästina,Palästina,LOC,-0.25,0.0,de,4
Belém,Belém,LOC,-0.175,0.25,de,4
Louvre,Louvre,LOC,0.175,0.0,de,4
Neuseeland,Neuseeland,LOC,0.4916666666666667,0.3333333333333333,de,4
Spanien,Spanien,LOC,0.0,0.0,de,4
Bermuda,Bermuda,LOC,-0.35,0.0,de,4
Libanon,Libanon,LOC,-0.175,0.0,de,4
Golddiebstahl,Golddiebstahl,LOC,0.0,0.0,de,4
Jordanien,Jordanien,LOC,0.0,0.0,de,4
Synodenteams,Synodenteams,LOC,0.0,0.25,de,4
Europas,Europas,LOC,-0.024999999999999994,0.0,de,4
Sudan,Sudan,LOC,-0.25,0.0,de,4
Brasilien,Brasilien,LOC,0.0875,0.35,de,4
Hamburg,Hamburg,LOC,-0.13749999999999998,0.0,de,4
Mitwirkungsgremien,Mitwirkungsgremien,LOC,0.0,0.25,de,4
Kanada,Kanada,LOC,-0.175,0.0,de,4
Erde,Erde,LOC,0.0,0.0,de,4
Polen,Polen,LOC,0.16333333333333333,0.16666666666666666,de,3
Belgien,Belgien,LOC,0.0,0.0,de,3
Kuba,Kuba,LOC,-0.2333333333333333,0.0,de,3
Russlands,Russlands,LOC,0.0,0.0,de,3
Jamaika,Jamaika,LOC,-0.2333333333333333,0.0,de,3
Lissabon,Lissabon,LOC,0.0,0.0,de,3
US-Konzern,US-Konzern,LOC,-0.11666666666666665,0.8333333333333334,de,3
US-Militäreinsätze,US-Militäreinsätze,LOC,-0.2333333333333333,0.0,de,3
Reykjavík,Reykjavík,LOC,0.0,0.0,de,3
Malaysias,Malaysias,LOC,-0.3499999999999999,0.16666666666666666,de,3
Aserbaidschan,Aserbaidschan,LOC,-0.4666666666666666,0.0,de,3
türkischen Regierung,türkischen Regierung,LOC,0.0,0.0,de,3
Drogenkartelle,Drogenkartelle,LOC,0.0,0.0,de,3
Museumsdiebstahl,Museumsdiebstahl,LOC,0.0,0.0,de,3
Perth,Perth,LOC,-0.2333333333333333,0.0,de,3
Krill,Krill,LOC,-0.6666666666666666,0.0,de,3
Hektoria-Gletscher,Hektoria-Gletscher,LOC,-0.11666666666666665,0.16666666666666666,de,3
Istanbuler,Istanbuler,LOC,0.0,0.0,de,3
Südamerika-Gipfel,Südamerika-Gipfel,LOC,0.0,0.0,de,3
Regierungsflieger,Regierungsflieger,LOC,-0.2333333333333333,0.0,de,3
Niedersachsen,Niedersachsen,LOC,-0.3333333333333333,0.0,de,3
Jerusalem,Jerusalem,LOC,0.2333333333333333,0.0,de,3
…,…,LOC,0.3333333333333333,0.0,de,3
Frankreich,Frankreich,LOC,-0.2416666666666667,0.0,de,3
La Paz,La Paz,LOC,0.0,0.0,de,3
Greenbushes,Greenbushes,LOC,-0.2333333333333333,0.0,de,3
türkische Regierung,türkische Regierung,LOC,0.0,0.0,de,2
türkischen Staat,türkischen Staat,LOC,-0.7,0.0,de,2
Italiens,Italiens,LOC,0.0,0.0,de,2
Cádiz,Cádiz,LOC,-0.15000000000000002,0.0,de,2
Oct,Oct,LOC,0.0,0.0,de,2
Vereinigte Arabische Emirate,Vereinigte Arabische Emirate,LOC,0.0,0.0,de,2
