,phrase,label,sentiment,subjectivity,language,count
“,“,MISC,,,de,45
"Link
","Link
",MISC,,,de,34
türkischen,türkischen,MISC,,,de,20
türkische,türkische,MISC,,,de,16
Gaza-Krieg,Gaza-Krieg,MISC,,,de,11
britische,britische,MISC,,,de,9
israelische,israelische,MISC,,,de,7
britischer,britischer,MISC,,,de,6
deutsch-türkischen,deutsch-türkischen,MISC,,,de,6
Zeit,Zeit,MISC,,,de,5
Waffenruhe,Waffenruhe,MISC,,,de,5
Türkisches,Türkisches,MISC,,,de,4
Polarstern,Polarstern,MISC,,,de,4
katholischen,katholischen,MISC,,,de,4
Reformation,Reformation,MISC,,,de,4
e…,e…,MISC,,,de,3
Krieg,Krieg,MISC,,,de,3
amerikanische,amerikanische,MISC,,,de,3
türkisches,türkisches,MISC,,,de,3
Hamburger,Hamburger,MISC,,,de,3
U17-Weltmeisterschaft,U17-Weltmeisterschaft,MISC,,,de,3
israelischen,israelischen,MISC,,,de,3
Gaza-Konflikt,Gaza-Konflikt,MISC,0.0,0.0,de,3
…,…,MISC,0.11666666666666665,0.0,de,3
Olivenernte,Olivenernte,MISC,,,de,3
jüdischen,jüdischen,MISC,,,de,3
protestantischen,protestantischen,MISC,,,de,3
Kalenderblatt,Kalenderblatt,MISC,0.0,0.0,de,3
Wiedervereinigung,Wiedervereinigung,MISC,,,de,2
Kurden,Kurden,MISC,,,de,2
Leipziger,Leipziger,MISC,,,de,2
Hauptroute,Hauptroute,MISC,,,de,2
deutscher,deutscher,MISC,,,de,2
Der Synodale Weg,Der Synodale Weg,MISC,,,de,2
Zehn Überlebende,Zehn Überlebende,MISC,,,de,2
Kirche-Sein,Kirche-Sein,MISC,,,de,2
römischen,römischen,MISC,,,de,2
Griechenland,Griechenland,MISC,-2.0,0.0,de,2
Christkönigsfest,Christkönigsfest,MISC,,,de,2
Greenbushes-Mine,Greenbushes-Mine,MISC,0.0,0.0,de,2
Pol-zu-Pol-Touren,Pol-zu-Pol-Touren,MISC,,,de,2
Kalten Krieg Erfahrung,Kalten Krieg Erfahrung,MISC,,,de,2
Miterlöserin“,Miterlöserin“,MISC,,,de,2
Extremwetter-Ereignisse,Extremwetter-Ereignisse,MISC,,,de,2
Christen,Christen,MISC,,,de,2
U17-WM,U17-WM,MISC,,,de,2
CDU-Politiker,CDU-Politiker,MISC,,,de,2
Katastrophen“,Katastrophen“,MISC,,,de,2
Rettungsteams,Rettungsteams,MISC,,,de,2
bulgarische,bulgarische,MISC,,,de,2
soziale,soziale,MISC,,,de,2
taiwanische,taiwanische,MISC,,,de,2
Capital</li><li>4,Capital</li><li>4,MISC,,,de,2
stern+,stern+,MISC,,,de,2
stern+statt,stern+statt,MISC,,,de,2
Ukraine-Krieg,Ukraine-Krieg,MISC,,,de,2
Reise in die Türkei,Reise in die Türkei,MISC,,,de,2
Deutsch-türkische,Deutsch-türkische,MISC,,,de,2
niederländische,niederländische,MISC,,,de,2
Popstars,Popstars,MISC,,,de,2
deutsch-türkische,deutsch-türkische,MISC,,,de,2
ungarische,ungarische,MISC,,,de,2
Frieden“,Frieden“,MISC,,,de,2
türkisch-lib…,türkisch-lib…,MISC,,,de,2
DFB-Junioren,DFB-Junioren,MISC,,,de,2
türkischem,türkischem,MISC,,,de,2
Marathon-Welt,Marathon-Welt,MISC,,,de,2
Raub,Raub,MISC,,,de,2
Mikroplastik,Mikroplastik,MISC,0.7,1.0,de,2
Schweizer,Schweizer,MISC,,,de,2
Vorwurfs,Vorwurfs,MISC,,,de,2
chilenischer,chilenischer,MISC,,,de,2
Kronjuwelen-Diebstahl,Kronjuwelen-Diebstahl,MISC,,,de,2
SPD-Minister,SPD-Minister,MISC,,,de,2
deutschen,deutschen,MISC,,,de,2
Weltmissionssonntags,Weltmissionssonntags,MISC,,,de,2
Papst-Motorrad“,Papst-Motorrad“,MISC,,,de,2
Antarktis-Kommission,Antarktis-Kommission,MISC,,,de,2
Deutsche,Deutsche,MISC,,,de,2
britischen,britischen,MISC,,,de,2
WM,WM,MISC,,,de,2
islamistische,islamistische,MISC,,,de,2
indigener,indigener,MISC,,,de,2
sozialistischer,sozialistischer,MISC,,,de,2
Wahl am Sonntag,Wahl am Sonntag,MISC,,,de,2
Sixtinischen Kapelle Geschichte,Sixtinischen Kapelle Geschichte,MISC,,,de,2
The Voice“-Star,The Voice“-Star,MISC,,,de,2
Dro…,Dro…,MISC,,,de,2
v…,v…,MISC,,,de,2
kolumbianischen,kolumbianischen,MISC,,,de,2
russischen,russischen,MISC,,,de,2
T…,T…,MISC,,,de,2
Legends Cup,Legends Cup,MISC,,,de,1
Mordurteil“,Mordurteil“,MISC,,,de,1
südamerikanische,südamerikanische,MISC,,,de,1
Richter,Richter,MISC,,,de,1
Legends Cup Antalya,Legends Cup Antalya,MISC,,,de,1
ersten T…,ersten T…,MISC,,,de,1
Die russische Invasion in der Ukraine,Die russische Invasion in der Ukraine,MISC,,,de,1
"Willibrord
","Willibrord
",MISC,,,de,1
Droht dem Land,Droht dem Land,MISC,,,de,1
Tag für Tag,Tag für Tag,MISC,,,de,1
ANDERE BLICK,ANDERE BLICK,MISC,,,de,1
Vom Musterschüler zum kranken Mann,Vom Musterschüler zum kranken Mann,MISC,,,de,1
russische Invasion in der Ukraine,russische Invasion in der Ukraine,MISC,,,de,1
Turnier-Absage,Turnier-Absage,MISC,,,de,1
Chile,Chile,MISC,,,de,1
Drogenkrieg,Drogenkrieg,MISC,,,de,1
Ankara,Ankara,MISC,-0.02,0.0,de,1
islamische,islamische,MISC,,,de,1
Republicanos“,Republicanos“,MISC,,,de,1
Luftangriffe,Luftangriffe,MISC,,,de,1
Termine,Termine,MISC,0.0,0.0,de,1
jüdische,jüdische,MISC,,,de,1
Beitritt,Beitritt,MISC,,,de,1
vatikanischen,vatikanischen,MISC,,,de,1
Türkische,Türkische,MISC,,,de,1
Selaha…,Selaha…,MISC,,,de,1
Omega-3-Pillen,Omega-3-Pillen,MISC,,,de,1
Zentralstelle Extremismus Sachsen …,Zentralstelle Extremismus Sachsen …,MISC,,,de,1
Waf…,Waf…,MISC,,,de,1
