,phrase,label,sentiment,subjectivity,language,count,topicColor,keywordColor,continent,gnd,geonames,latitude,longitude,geotype,country,ipcc
US-Präsident,US-Präsident,LOC,-0.2452380952380952,0.0,de,21,,,,,,,,,,
Europa,Europa,LOC,0.037500000000000006,0.125,de,8,,,,,,,,,,
Karibik,Karibik,LOC,-0.2125,0.0,de,8,,,,,,,,,,
Istanbul,Istanbul,LOC,-0.5714285714285714,0.0,de,7,,,,,,,,,,
Naturkundemuseum,Naturkundemuseum,LOC,0.09999999999999999,0.0,de,7,,,,,,,,,,
Erde,Erde,LOC,0.11666666666666665,0.16666666666666666,de,6,,,,,,,,,,
Privatjets,Privatjets,LOC,0.16666666666666666,0.0,de,6,,,,,,,,,,
Südpol,Südpol,LOC,0.0,0.3333333333333333,de,6,,,,,,,,,,
Südamerika,Südamerika,LOC,-0.13999999999999999,0.0,de,5,,,,,,,,,,
Amazonas,Amazonas,LOC,0.13999999999999999,0.0,de,5,,,,,,,,,,
Bootsunglück,Bootsunglück,LOC,-0.27999999999999997,0.0,de,5,,,,,,,,,,
Mitwirkungsgremien,Mitwirkungsgremien,LOC,0.0,0.25,de,4,,,,,,,,,,
Palästina,Palästina,LOC,-0.25,0.0,de,4,,,,,,,,,,
Erdogan,Erdogan,LOC,-0.25,0.0,de,4,,,,,,,,,,
Belém,Belém,LOC,-0.175,0.25,de,4,,,,,,,,,,
Golddiebstahl,Golddiebstahl,LOC,0.0,0.0,de,4,,,,,,,,,,
Louvre,Louvre,LOC,0.175,0.0,de,4,,,,,,,,,,
Hamburg,Hamburg,LOC,-0.13749999999999998,0.0,de,4,,,,,,,,,,
Westjordanland,Westjordanland,LOC,-0.07500000000000001,0.0,de,4,,,,,,,,,,
Hektoria-Gletscher,Hektoria-Gletscher,LOC,-0.0875,0.125,de,4,,,,,,,,,,
Synodenteams,Synodenteams,LOC,0.0,0.25,de,4,,,,,,,,,,
Netanjahu,Netanjahu,LOC,0.0,0.0,de,4,,,,,,,,,,
Weddellmeer,Weddellmeer,LOC,-0.0875,0.375,de,4,,,,,,,,,,
Land,Land,LOC,-0.35,0.0,de,4,,,,,,,,,,
Europas,Europas,LOC,-0.024999999999999994,0.0,de,4,,,,,,,,,,
US-Konzern,US-Konzern,LOC,-0.11666666666666665,0.8333333333333334,de,3,,,,,,,,,,
Greenbushes,Greenbushes,LOC,-0.2333333333333333,0.0,de,3,,,,,,,,,,
Reykjavík,Reykjavík,LOC,0.0,0.0,de,3,,,,,,,,,,
Perth,Perth,LOC,-0.2333333333333333,0.0,de,3,,,,,,,,,,
türkischen Regierung,türkischen Regierung,LOC,0.0,0.0,de,3,,,,,,,,,,
US-Militäreinsätze,US-Militäreinsätze,LOC,-0.2333333333333333,0.0,de,3,,,,,,,,,,
Drogenkartelle,Drogenkartelle,LOC,0.0,0.0,de,3,,,,,,,,,,
Museumsdiebstahl,Museumsdiebstahl,LOC,0.0,0.0,de,3,,,,,,,,,,
Niedersachsen,Niedersachsen,LOC,-0.3333333333333333,0.0,de,3,,,,,,,,,,
Südamerika-Gipfel,Südamerika-Gipfel,LOC,0.0,0.0,de,3,,,,,,,,,,
…,…,LOC,0.3333333333333333,0.0,de,3,,,,,,,,,,
Istanbuler,Istanbuler,LOC,0.0,0.0,de,3,,,,,,,,,,
La Paz,La Paz,LOC,0.0,0.0,de,3,,,,,,,,,,
Regierungsflieger,Regierungsflieger,LOC,-0.2333333333333333,0.0,de,3,,,,,,,,,,
Krill,Krill,LOC,-0.6666666666666666,0.0,de,3,,,,,,,,,,
G7,G7,LOC,0.0,0.0,de,2,,,,,,,,,,
Wirbelsturm,Wirbelsturm,LOC,-0.35,0.0,de,2,,,,,,,,,,
Hotelkombi,Hotelkombi,LOC,0.0,0.0,de,2,,,,,,,,,,
US-Regierung,US-Regierung,LOC,0.0,0.0,de,2,,,,,,,,,,
Kurs,Kurs,LOC,-0.35,0.0,de,2,,,,,,,,,,
Termine,Termine,LOC,0.0,0.0,de,2,,,,,,,,,,
Luxus-Flüge,Luxus-Flüge,LOC,0.0,0.0,de,2,,,,,,,,,,
Migration,Migration,LOC,0.0,0.0,de,2,,,,,,,,,,
Weiße Haus,Weiße Haus,LOC,0.0,0.0,de,2,,,,,,,,,,
türkische Regierung,türkische Regierung,LOC,0.0,0.0,de,2,,,,,,,,,,
Schleswig-Holstein,Schleswig-Holstein,LOC,0.0,0.0,de,2,,,,,,,,,,
Rania,Rania,LOC,-0.35,0.0,de,2,,,,,,,,,,
Afrika,Afrika,LOC,0.7,0.0,de,2,,,,,,,,,,
Appenzeller,Appenzeller,LOC,-0.7,0.0,de,2,,,,,,,,,,
Kalenderblatt,Kalenderblatt,LOC,0.0,0.0,de,2,,,,,,,,,,
Greenbushes-Mine,Greenbushes-Mine,LOC,0.0,0.0,de,2,,,,,,,,,,
New York,New York,LOC,0.35,0.0,de,2,,,,,,,,,,
Chiang Rai,Chiang Rai,LOC,0.35,0.0,de,2,,,,,,,,,,
Bengasi,Bengasi,LOC,0.0,0.0,de,2,,,,,,,,,,
Oct,Oct,LOC,0.0,0.0,de,2,,,,,,,,,,
Friedens,Friedens,LOC,0.0,0.9,de,2,,,,,,,,,,
Rekordtempo,Rekordtempo,LOC,-0.35,0.0,de,2,,,,,,,,,,
türkischen Staat,türkischen Staat,LOC,-0.7,0.0,de,2,,,,,,,,,,
Volksrepublik,Volksrepublik,LOC,0.0,0.0,de,2,,,,,,,,,,
Apostolischen Palast,Apostolischen Palast,LOC,-0.35,0.0,de,2,,,,,,,,,,
Weltkirche,Weltkirche,LOC,1.0,0.0,de,2,,,,,,,,,,
Bosporus,Bosporus,LOC,0.0,0.0,de,2,,,,,,,,,,
Naumburger Dom,Naumburger Dom,LOC,0.0,0.0,de,2,,,,,,,,,,
Bartolo Longo am Sonntag,Bartolo Longo am Sonntag,LOC,0.5,0.0,de,2,,,,,,,,,,
Cádiz,Cádiz,LOC,-0.15000000000000002,0.0,de,2,,,,,,,,,,
Dozulé,Dozulé,LOC,-0.7125,0.0,de,2,,,,,,,,,,
Lösungen,Lösungen,LOC,0.0,0.0,de,2,,,,,,,,,,
Satellitennetzwerks Starlink,Satellitennetzwerks Starlink,LOC,0.0,0.0,de,2,,,,,,,,,,
Barrikaden,Barrikaden,LOC,0.0,0.0,de,2,,,,,,,,,,
Starlink-Internetempfänger,Starlink-Internetempfänger,LOC,-0.5,0.0,de,2,,,,,,,,,,
Brücke der Freundschaft,Brücke der Freundschaft,LOC,0.0,0.0,de,2,,,,,,,,,,
südamerikanische Land,südamerikanische Land,LOC,0.0,0.0,de,2,,,,,,,,,,
Zürich,Zürich,LOC,0.7,0.0,de,2,,,,,,,,,,
Drogenhandel,Drogenhandel,LOC,0.0,0.0,de,2,,,,,,,,,,
Yangon,Yangon,LOC,1.0,0.0,de,2,,,,,,,,,,
Reisewelt,Reisewelt,LOC,0.0,0.0,de,2,,,,,,,,,,
Trump-Vorbild,Trump-Vorbild,LOC,0.35,0.0,de,2,,,,,,,,,,
Business-Class-Reisen,Business-Class-Reisen,LOC,0.0,0.0,de,2,,,,,,,,,,
Flüchtlinge,Flüchtlinge,LOC,0.0,0.0,de,2,,,,,,,,,,
Algarve,Algarve,LOC,0.0,0.0,de,2,,,,,,,,,,
Nichtitaliener,Nichtitaliener,LOC,0.175,0.25,de,2,,,,,,,,,,
Hamas,Hamas,LOC,0.5,0.0,de,2,,,,,,,,,,
Georgien,Georgien,LOC,-0.35,0.0,de,2,,,,,,,,,,
den Niederlanden,den Niederlanden,LOC,0.0,0.0,de,2,,,,,,,,,,
Buckingham Palast,Buckingham Palast,LOC,0.7,0.0,de,2,,,,,,,,,,
UN-Klimagipfel,UN-Klimagipfel,LOC,0.0,0.0,de,2,,,,,,,,,,
