,phrase,label,sentiment,subjectivity,language,count
Kirche,Kirche,ORG,0.0,0.0,de,2
Dikasterium für die Glaubenslehre,Dikasterium für die Glaubenslehre,ORG,-0.7125,0.0,de,2
Kirche von England,Kirche von England,ORG,-0.35,0.0,de,2
Mahmud Abbas,Mahmud Abbas,ORG,0.0,0.0,de,2
Schweizergardisten,Schweizergardisten,ORG,0.0,0.0,de,1
NHC,NHC,ORG,-0.7,0.0,de,1
sc…,sc…,ORG,0.0,0.0,de,1
Stubenlicht,Stubenlicht,ORG,0.0,0.0,de,1
slapstickhafte Verfolgungsjagden …,slapstickhafte Verfolgungsjagden …,ORG,0.0,0.0,de,1
Antisemitismus,Antisemitismus,ORG,0.0,0.0,de,1
Sexleben der See-Elefanten,Sexleben der See-Elefanten,ORG,0.0,0.0,de,1
Gerichtsverfahr…,Gerichtsverfahr…,ORG,0.0,0.0,de,1
Chase National Bank,Chase National Bank,ORG,0.7,0.0,de,1
University of Colorado,University of Colorado,ORG,0.7,0.0,de,1
Vatikan,Vatikan,ORG,-0.7,0.0,de,1
Vo…,Vo…,ORG,0.7,0.0,de,1
Palästinenserpräsident Abbas,Palästinenserpräsident Abbas,ORG,0.0,0.0,de,1
Neue Freie Presse,Neue Freie Presse,ORG,0.7,0.0,de,1
Vatikan veröf…,Vatikan veröf…,ORG,0.0,0.0,de,1
Vatikanbank IOR,Vatikanbank IOR,ORG,-0.7,0.0,de,1
Vatikanbank,Vatikanbank,ORG,0.0,0.0,de,1
Storyblocks26.10.2025,Storyblocks26.10.2025,ORG,0.0,0.0,de,1
Getty,Getty,ORG,0.0,0.0,de,1
China,China,ORG,-0.7,0.0,de,1
Weltkirc…,Weltkirc…,ORG,0.0,0.0,de,1
Warum Airlines,Warum Airlines,ORG,0.0,0.0,de,1
"Link
","Link
",ORG,-0.7,0.0,de,1
Ch…,Ch…,ORG,-0.7,0.0,de,1
katholischen Kirche,katholischen Kirche,ORG,0.0,0.0,de,1
EU,EU,ORG,0.0,0.0,de,1
wi…,wi…,ORG,0.35,0.0,de,1
Österreichischen Pilge…,Österreichischen Pilge…,ORG,0.0,0.0,de,1
