topic,sentiment_mean,sentiment_std,subjectivity_mean,subjectivity_std,counting
Antarctica,-0.17365031085320845,0.9270572473069473,0.49790252239236565,1.0499843030509277,21.0
Austria,0.41661626481029146,0.589184371999935,-0.23872463192340052,0.33760761213859813,2.0
Belgium,0.2190623257008439,1.0,-0.29750231137309024,1.0,1.0
Bermuda,-0.579795060125748,1.0,-0.521180450623339,1.0,1.0
China,0.10953116285042196,0.15490045600556285,-0.14875115568654512,0.21036590179058384,2.0
Cuba,-0.8446121949759288,1.0,-0.5648615729553891,1.0,1.0
Falkland Islands,-1.5486490914930415,1.0,-0.521180450623339,1.0,1.0
France,-1.8601526759154339,1.0,-0.37072603635793644,1.0,1.0
Hungary,-0.30427030576032527,1.0,-0.6337053865602995,1.0,1.0
Iceland,0.0,1.0,0.0,1.0,1.0
Israel,-0.25158487623678816,1.0,1.050702400857729,1.0,1.0
Italy,0.15830655281737516,1.3930780471067026,0.04120148360799081,0.8571025942452241,2.0
Lebanon,0.23902466234178285,1.017729300943315,-0.37072603635793644,1.0,2.0
Maldives,-0.14231986557632734,0.7025055683268473,0.0012595878838128627,0.6799631780565957,8.0
New Zealand,1.0329483733061176,1.0,1.1547005383792515,1.0,1.0
Poland,0.10620729441163204,1.0,0.1658511215285505,1.0,1.0
Portugal,-0.06952537128021948,1.0,-0.5773502691896257,1.0,1.0
Reunion,1.4035495770700872,0.7613387359719874,-0.6977007381068022,0.0,2.0
Sri Lanka,-0.4441554957343269,1.0,-0.521180450623339,1.0,1.0
Switzerland,0.7071067811865475,1.0,,1.0,1.0
Turkey,-0.038097795774059785,1.0823934678389366,0.05173953241271136,1.078391035861509,23.0
Vatican,0.10741655426511414,0.8846246560092498,-0.12997186026996738,0.9242831548122629,42.0
