keyword,language,topic,topicColor,keywordColor,limitPages,ratioNew,continent,gnd,geonames,latitude,longitude,geotype,country,ipcc
'Myanmar',de,Myanmar,#a744ea,#a744ea,2,0.890000000000,ASIA,4069500-1,1327865,21.000000000000,96.000000000000,A,Myanmar,SAS
'Bolivien',de,Bolivia,#24c215,#24c215,1,0.890000000000,SOUTH-AMERICA,4007607-6,3923057,-17.000000000000,-65.000000000000,A,Bolivia,SAM
'Britische Jungferninseln',de,British Virgin Islands,#4ce93f,#4ce93f,2,0.890000000000,CENTRAL-AMERICA,4063590-9,3577718,18.500000000000,-64.500000000000,A,Britische Jungferninseln,CAR
'McDonald-Inseln',de,Heard Island and McDonald Islands,#A67724,#A67724,1,0.890000000000,SOUTHERN,4451482-7,1547314,-53.117110000000,73.509520000000,A,Heard Island and McDonald Islands,SOO
'Türkei',de,Turkey,#F547D7,#F547D7,3,0.879738502204,EUROPE-AFRICA,4002075-7,323786,39.919870000000,32.854270000000,P,Turkey,MED
'Ankara',de,Turkey,#6aa6ee,#6aa6ee,3,0.875153947320,EUROPE-AFRICA,4002075-7,323786,39.919870000000,32.854270000000,P,Turkey,MED
'Nay Pyi Taw',de,Myanmar,#00E52D,#00E52D,2,0.865450045000,ASIA,4069500-1,1327865,21.000000000000,96.000000000000,A,Myanmar,SAS
'Naypyidaw',de,Myanmar,#00E52D,#00E52D,2,0.865450045000,ASIA,4069500-1,1327865,21.000000000000,96.000000000000,A,Myanmar,SAS
'Saint Eustatius',de,Bonaire; Saint Eustatius and Saba ,#B949C3,#B949C3,1,0.841500000000,,,-1,12.212860000000,-68.294450000000,,,
'Bonaire',de,Bonaire; Saint Eustatius and Saba ,#B949C3,#B949C3,1,0.841500000000,,,-1,12.212860000000,-68.294450000000,,,
'Antarktis',de,Antarctica,#073546,#073546,3,0.839387797477,POLAR,4002208-0,6255152,-78.158560000000,16.406260000000,L,Antarctica,EAN
'Malediven',de,Maldives,#B2DAB1,#B2DAB1,3,0.834750870000,INDIAN,4037212-1,1282028,3.200000000000,73.000000000000,A,Maldives,EIO
'Ostjerusalem',de,Palestinian Territory,#5a96ec,#5a96ec,1,0.822508179737,EUROPE-AFRICA,4485908-9,7303419,31.783360000000,35.233880000000,P,Palestinian Territory,MED
'Palästinensisches Gebiet',de,Palestinian Territory,#BC87DE,#BC87DE,2,0.816350135000,EUROPE-AFRICA,,7303419,31.783360000000,35.233880000000,P,Palestinian Territory,MED
'Vatikan',de,Vatican,#6ed4ee,#6ed4ee,2,0.811513592948,EUROPE-AFRICA,4062404-3,3164670,41.902250000000,12.453300000000,A,Vatican,MED
'Reunion',de,Reunion,#A9621E,#A9621E,3,0.783587533636,INDIAN,4049639-9,935264,-20.882310000000,55.450400000000,P,Réunion,SIO
'Tokelau',de,Tokelau,#d23017,#d23017,2,0.782128240109,PACIFIC,4236941-1,4031074,-9.167000000000,-171.830000000000,A,Tokelau,EPO
'Flying Fish Cove',de,Christmas Island,#a417d0,#a417d0,2,0.766666666667,INDIAN,,2078127,-10.421720000000,105.679120000000,P,Christmas Island,SIO
